council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR,IGNORE,postcode,state,lng,lat,Individuals 2003-04,Median taxable income 2003-04,Average taxable income 2003-04,Individuals 2013-14,Median taxable income 2013-14,Average taxable income 2013-14,Individuals 2014-15,Median taxable income 2014-15,Average taxable income 2014-15,Individuals 2015-16,Median taxable income 2015-16,Average taxable income 2015-16,Individuals 2016-17,Median taxable income 2016-17,Average taxable income 2016-17,Individuals 2017-18,Median taxable income 2017-18,Average taxable income 2017-18,Individuals 2018-19,Median taxable income 2018-19,Average taxable income 2018-19,Individuals 2019-20,Median taxable income 2019-20,Average taxable income 2019-20,Individuals 2020-21,Median taxable income 2020-21,Average taxable income 2020-21,Individuals 2021-22,Median taxable income 2021-22,Average taxable income 2021-22,KFC Count,McDonald's Count,Hungry Jack's Count,council_y,sa4name,sed_name,Total Fast Food Count
Maribyrnong,FOOTSCRAY,21.9,60.0,9.0,3011.0,VIC,144.907953,-37.807101,"9,291","26,793","30,908","11,662","41,236","49,377","12,275","41,605","50,543","12,923","43,162","52,051","13,713","44,932","53,981","14,557","46,754","56,672","14,951","48,982","58,959","14,989","51,132","62,174","15,484","51,744","63,889","16,575","54,151","66,186",1.0,1.0,0.0,Maribyrnong,Melbourne - West,Footscray (Western Metropolitan),2.0
Maribyrnong,SEDDON,21.9,60.0,10.0,3011.0,VIC,144.907953,-37.807101,"9,291","26,793","30,908","11,662","41,236","49,377","12,275","41,605","50,543","12,923","43,162","52,051","13,713","44,932","53,981","14,557","46,754","56,672","14,951","48,982","58,959","14,989","51,132","62,174","15,484","51,744","63,889","16,575","54,151","66,186",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Footscray (Western Metropolitan),0.0
Maribyrnong,SEDDON WEST,21.9,60.0,11.0,3011.0,VIC,144.907953,-37.807101,"9,291","26,793","30,908","11,662","41,236","49,377","12,275","41,605","50,543","12,923","43,162","52,051","13,713","44,932","53,981","14,557","46,754","56,672","14,951","48,982","58,959","14,989","51,132","62,174","15,484","51,744","63,889","16,575","54,151","66,186",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Footscray (Western Metropolitan),0.0
Brimbank,BROOKLYN,27.4,64.9,12.0,3012.0,VIC,144.861162,-37.807135,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200","16,466","48,628","57,534","17,125","50,580","60,122","17,157","52,309","62,099","16,684","56,018","67,668","17,223","59,588","71,176",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),0.0
Brimbank,KINGSVILLE,27.4,64.9,13.0,3012.0,VIC,144.861162,-37.807135,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200","16,466","48,628","57,534","17,125","50,580","60,122","17,157","52,309","62,099","16,684","56,018","67,668","17,223","59,588","71,176",0.0,0.0,1.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),1.0
Brimbank,KINGSVILLE WEST,27.4,64.9,14.0,3012.0,VIC,144.861162,-37.807135,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200","16,466","48,628","57,534","17,125","50,580","60,122","17,157","52,309","62,099","16,684","56,018","67,668","17,223","59,588","71,176",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),0.0
Brimbank,MAIDSTONE,27.4,64.9,15.0,3012.0,VIC,144.861162,-37.807135,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200","16,466","48,628","57,534","17,125","50,580","60,122","17,157","52,309","62,099","16,684","56,018","67,668","17,223","59,588","71,176",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),0.0
Brimbank,TOTTENHAM,27.4,64.9,16.0,3012.0,VIC,144.861162,-37.807135,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200","16,466","48,628","57,534","17,125","50,580","60,122","17,157","52,309","62,099","16,684","56,018","67,668","17,223","59,588","71,176",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),0.0
Brimbank,WEST FOOTSCRAY,27.4,64.9,17.0,3012.0,VIC,144.861162,-37.807135,"10,590","28,757","31,234","13,724","43,551","50,989","14,334","44,669","52,091","15,009","45,489","53,426","15,738","47,285","55,200","16,466","48,628","57,534","17,125","50,580","60,122","17,157","52,309","62,099","16,684","56,018","67,668","17,223","59,588","71,176",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),0.0
Maribyrnong,YARRAVILLE,21.9,60.0,18.0,3013.0,VIC,144.888686,-37.814183,"7,742","33,934","37,298","8,565","52,657","64,322","8,725","53,881","66,550","9,119","56,514","69,084","9,266","59,057","72,158","9,623","60,856","76,176","9,845","63,526","79,283","9,860","65,443","81,261","9,614","70,432","88,029","9,633","74,392","93,656",1.0,1.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),2.0
Maribyrnong,YARRAVILLE WEST,21.9,60.0,19.0,3013.0,VIC,144.888686,-37.814183,"7,742","33,934","37,298","8,565","52,657","64,322","8,725","53,881","66,550","9,119","56,514","69,084","9,266","59,057","72,158","9,623","60,856","76,176","9,845","63,526","79,283","9,860","65,443","81,261","9,614","70,432","88,029","9,633","74,392","93,656",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,NEWPORT,24.9,63.6,20.0,3015.0,VIC,144.880556,-37.838242,"8,670","33,409","37,867","9,916","52,652","64,899","10,152","54,599","67,041","10,424","56,590","70,392","10,786","58,405","72,413","11,189","61,151","76,194","11,497","64,890","79,061","11,448","67,405","82,045","11,201","69,637","86,488","11,314","74,166","91,004",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,SOUTH KINGSVILLE,24.9,63.6,21.0,3015.0,VIC,144.880556,-37.838242,"8,670","33,409","37,867","9,916","52,652","64,899","10,152","54,599","67,041","10,424","56,590","70,392","10,786","58,405","72,413","11,189","61,151","76,194","11,497","64,890","79,061","11,448","67,405","82,045","11,201","69,637","86,488","11,314","74,166","91,004",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,SPOTSWOOD,24.9,63.6,22.0,3015.0,VIC,144.880556,-37.838242,"8,670","33,409","37,867","9,916","52,652","64,899","10,152","54,599","67,041","10,424","56,590","70,392","10,786","58,405","72,413","11,189","61,151","76,194","11,497","64,890","79,061","11,448","67,405","82,045","11,201","69,637","86,488","11,314","74,166","91,004",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,WILLIAMSTOWN,24.9,63.6,23.0,3016.0,VIC,144.888461,-37.863743,"9,253","36,477","46,398","9,485","52,192","77,373","9,466","54,661","77,520","9,720","54,873","80,986","9,890","55,949","83,343","10,120","58,414","87,688","10,317","59,491","91,274","10,266","61,987","91,477","10,118","65,835","99,535","10,319","68,768","106,120",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,WILLIAMSTOWN NORTH,24.9,63.6,24.0,3016.0,VIC,144.888461,-37.863743,"9,253","36,477","46,398","9,485","52,192","77,373","9,466","54,661","77,520","9,720","54,873","80,986","9,890","55,949","83,343","10,120","58,414","87,688","10,317","59,491","91,274","10,266","61,987","91,477","10,118","65,835","99,535","10,319","68,768","106,120",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,ALTONA,24.9,63.6,25.0,3018.0,VIC,144.812736,-37.86172,"7,290","30,338","34,777","7,273","46,589","55,882","7,471","47,350","56,915","7,647","48,963","59,517","7,968","50,158","61,481","8,001","53,002","66,632","8,225","56,537","68,462","8,295","57,301","71,563","8,195","61,021","74,897","8,198","64,896","80,630",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,SEAHOLME,24.9,63.6,26.0,3018.0,VIC,144.812736,-37.86172,"7,290","30,338","34,777","7,273","46,589","55,882","7,471","47,350","56,915","7,647","48,963","59,517","7,968","50,158","61,481","8,001","53,002","66,632","8,225","56,537","68,462","8,295","57,301","71,563","8,195","61,021","74,897","8,198","64,896","80,630",0.0,0.0,0.0,Hobsons Bay,Melbourne - West,Williamstown (Western Metropolitan),0.0
Maribyrnong,BRAYBROOK,21.9,60.0,27.0,3019.0,VIC,144.854014,-37.784683,"2,533","24,256","26,898","3,801","35,321","39,746","3,990","35,579","40,139","4,277","36,470","41,794","4,477","36,089","42,303","4,705","37,368","44,059","5,020","39,358","45,075","5,380","40,555","47,224","5,471","43,151","51,183","5,770","45,565","53,912",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Laverton (Western Metropolitan),0.0
Maribyrnong,BRAYBROOK NORTH,21.9,60.0,28.0,3019.0,VIC,144.854014,-37.784683,"2,533","24,256","26,898","3,801","35,321","39,746","3,990","35,579","40,139","4,277","36,470","41,794","4,477","36,089","42,303","4,705","37,368","44,059","5,020","39,358","45,075","5,380","40,555","47,224","5,471","43,151","51,183","5,770","45,565","53,912",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Laverton (Western Metropolitan),0.0
Maribyrnong,ROBINSON,21.9,60.0,29.0,3019.0,VIC,144.854014,-37.784683,"2,533","24,256","26,898","3,801","35,321","39,746","3,990","35,579","40,139","4,277","36,470","41,794","4,477","36,089","42,303","4,705","37,368","44,059","5,020","39,358","45,075","5,380","40,555","47,224","5,471","43,151","51,183","5,770","45,565","53,912",0.0,0.0,0.0,Maribyrnong,Melbourne - West,Laverton (Western Metropolitan),0.0
Brimbank,ALBION,27.4,64.9,30.0,3020.0,VIC,144.829945,-37.777204,"16,991","26,467","28,971","19,901","36,394","41,065","20,676","36,874","41,929","21,676","37,492","42,423","22,618","37,785","43,431","23,863","39,230","45,106","25,052","40,509","46,453","25,174","41,371","48,010","24,602","44,430","51,841","24,996","47,251","54,734",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,GLENGALA,27.4,64.9,31.0,3020.0,VIC,144.829945,-37.777204,"16,991","26,467","28,971","19,901","36,394","41,065","20,676","36,874","41,929","21,676","37,492","42,423","22,618","37,785","43,431","23,863","39,230","45,106","25,052","40,509","46,453","25,174","41,371","48,010","24,602","44,430","51,841","24,996","47,251","54,734",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,SUNSHINE,27.4,64.9,32.0,3020.0,VIC,144.829945,-37.777204,"16,991","26,467","28,971","19,901","36,394","41,065","20,676","36,874","41,929","21,676","37,492","42,423","22,618","37,785","43,431","23,863","39,230","45,106","25,052","40,509","46,453","25,174","41,371","48,010","24,602","44,430","51,841","24,996","47,251","54,734",2.0,0.0,1.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),3.0
Brimbank,SUNSHINE NORTH,27.4,64.9,33.0,3020.0,VIC,144.829945,-37.777204,"16,991","26,467","28,971","19,901","36,394","41,065","20,676","36,874","41,929","21,676","37,492","42,423","22,618","37,785","43,431","23,863","39,230","45,106","25,052","40,509","46,453","25,174","41,371","48,010","24,602","44,430","51,841","24,996","47,251","54,734",0.0,1.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),1.0
Brimbank,SUNSHINE WEST,27.4,64.9,34.0,3020.0,VIC,144.8110787,-37.79809941,"16,991","26,467","28,971","19,901","36,394","41,065","20,676","36,874","41,929","21,676","37,492","42,423","22,618","37,785","43,431","23,863","39,230","45,106","25,052","40,509","46,453","25,174","41,371","48,010","24,602","44,430","51,841","24,996","47,251","54,734",0.0,1.0,1.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),2.0
Brimbank,ALBANVALE,27.4,64.9,35.0,3021.0,VIC,144.796693,-37.743361,"25,021","26,448","28,620","23,309","36,171","39,755","24,026","36,143","39,793","24,953","36,309","40,482","25,615","36,436","40,744","26,851","37,450","42,224","27,859","38,543","42,707","27,874","38,822","43,660","27,251","40,775","46,264","27,703","42,061","47,811",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,KEALBA,27.4,64.9,36.0,3021.0,VIC,144.796693,-37.743361,"25,021","26,448","28,620","23,309","36,171","39,755","24,026","36,143","39,793","24,953","36,309","40,482","25,615","36,436","40,744","26,851","37,450","42,224","27,859","38,543","42,707","27,874","38,822","43,660","27,251","40,775","46,264","27,703","42,061","47,811",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,KINGS PARK,27.4,64.9,37.0,3021.0,VIC,144.796693,-37.743361,"25,021","26,448","28,620","23,309","36,171","39,755","24,026","36,143","39,793","24,953","36,309","40,482","25,615","36,436","40,744","26,851","37,450","42,224","27,859","38,543","42,707","27,874","38,822","43,660","27,251","40,775","46,264","27,703","42,061","47,811",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,ST ALBANS,27.4,64.9,38.0,3021.0,VIC,144.796693,-37.743361,"25,021","26,448","28,620","23,309","36,171","39,755","24,026","36,143","39,793","24,953","36,309","40,482","25,615","36,436","40,744","26,851","37,450","42,224","27,859","38,543","42,707","27,874","38,822","43,660","27,251","40,775","46,264","27,703","42,061","47,811",0.0,1.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),1.0
Brimbank,ARDEER,27.4,64.9,39.0,3022.0,VIC,144.793961,-37.795937,"3,051","27,987","29,780","1,875","38,759","43,548","1,902","40,347","44,075","1,937","40,587","46,095","1,913","40,608","46,453","1,972","43,372","48,939","2,015","44,405","50,227","1,974","46,160","52,109","1,922","48,034","54,160","1,949","48,937","56,812",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,DEER PARK EAST,27.4,64.9,40.0,3022.0,VIC,144.793961,-37.795937,"3,051","27,987","29,780","1,875","38,759","43,548","1,902","40,347","44,075","1,937","40,587","46,095","1,913","40,608","46,453","1,972","43,372","48,939","2,015","44,405","50,227","1,974","46,160","52,109","1,922","48,034","54,160","1,949","48,937","56,812",0.0,0.0,0.0,Brimbank,Melbourne - West,St Albans (Western Metropolitan),0.0
Brimbank,BURNSIDE,27.4,64.9,41.0,3023.0,VIC,144.770641,-37.78272,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",1.0,1.0,0.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),2.0
Brimbank,BURNSIDE HEIGHTS,27.4,64.9,42.0,3023.0,VIC,144.755657,-37.73218752,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",0.0,0.0,0.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),0.0
Brimbank,CAIRNLEA,27.4,64.9,43.0,3023.0,VIC,144.770641,-37.78272,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",0.0,0.0,0.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),0.0
Brimbank,CAROLINE SPRINGS,27.4,64.9,44.0,3023.0,VIC,144.770641,-37.78272,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",1.0,1.0,1.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),3.0
Brimbank,DEER PARK,27.4,64.9,45.0,3023.0,VIC,144.770641,-37.78272,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",1.0,0.0,1.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),2.0
Brimbank,DEER PARK NORTH,27.4,64.9,46.0,3023.0,VIC,144.770641,-37.78272,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",0.0,0.0,0.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),0.0
Brimbank,RAVENHALL,27.4,64.9,47.0,3023.0,VIC,144.770641,-37.78272,"16,427","31,099","32,725","30,904","42,829","48,526","31,629","43,331","49,158","32,700","44,184","50,419","33,632","44,586","51,082","34,441","46,285","53,627","35,362","48,000","54,552","35,793","48,542","55,821","35,656","49,494","57,916","36,592","51,179","60,111",0.0,0.0,0.0,Melton - Bacchus Marsh,Melbourne - West,Sydenham (Western Metropolitan),0.0
Melton,FIELDSTONE,35.6,74.3,48.0,3024.0,VIC,144.649936,-37.75045631,"4,270","31,707","33,474","10,804","44,540","48,521","11,362","44,846","48,763","12,265","45,138","49,607","13,276","45,694","50,391","14,339","47,508","53,173","15,831","48,854","54,203","17,382","50,220","56,213","19,017","51,478","58,573","21,094","53,973","62,764",0.0,0.0,0.0,Wyndham,Melbourne - West,Werribee (Western Metropolitan),0.0
Melton,MAMBOURIN,35.6,74.3,49.0,3024.0,VIC,144.556552,-37.899873,"4,270","31,707","33,474","10,804","44,540","48,521","11,362","44,846","48,763","12,265","45,138","49,607","13,276","45,694","50,391","14,339","47,508","53,173","15,831","48,854","54,203","17,382","50,220","56,213","19,017","51,478","58,573","21,094","53,973","62,764",0.0,0.0,0.0,Wyndham,Melbourne - West,Werribee (Western Metropolitan),0.0
Melton,MANOR LAKES,35.6,74.3,50.0,3024.0,VIC,144.5812323,-37.86694209,"4,270","31,707","33,474","10,804","44,540","48,521","11,362","44,846","48,763","12,265","45,138","49,607","13,276","45,694","50,391","14,339","47,508","53,173","15,831","48,854","54,203","17,382","50,220","56,213","19,017","51,478","58,573","21,094","53,973","62,764",0.0,0.0,0.0,Wyndham,Melbourne - West,Werribee (Western Metropolitan),0.0
Melton,MOUNT COTTRELL,35.6,74.3,51.0,3024.0,VIC,144.556552,-37.899873,"4,270","31,707","33,474","10,804","44,540","48,521","11,362","44,846","48,763","12,265","45,138","49,607","13,276","45,694","50,391","14,339","47,508","53,173","15,831","48,854","54,203","17,382","50,220","56,213","19,017","51,478","58,573","21,094","53,973","62,764",0.0,0.0,0.0,Wyndham,Melbourne - West,Werribee (Western Metropolitan),0.0
Melton,WYNDHAM VALE,35.6,74.3,52.0,3024.0,VIC,144.556552,-37.899873,"4,270","31,707","33,474","10,804","44,540","48,521","11,362","44,846","48,763","12,265","45,138","49,607","13,276","45,694","50,391","14,339","47,508","53,173","15,831","48,854","54,203","17,382","50,220","56,213","19,017","51,478","58,573","21,094","53,973","62,764",2.0,1.0,1.0,Wyndham,Melbourne - West,Werribee (Western Metropolitan),4.0
Hobsons Bay,ALTONA EAST,24.9,63.6,53.0,3025.0,VIC,144.839704,-37.835562,"5,902","27,860","30,784","5,685","42,346","49,145","5,712","43,381","51,182","5,841","44,875","53,948","6,140","46,929","55,413","6,341","49,294","59,444","6,562","52,709","62,562","6,692","54,417","65,636","6,709","57,855","69,136","6,902","61,150","75,496",0.0,0.0,0.0,Wyndham,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,ALTONA GATE,24.9,63.6,54.0,3025.0,VIC,144.839704,-37.835562,"5,902","27,860","30,784","5,685","42,346","49,145","5,712","43,381","51,182","5,841","44,875","53,948","6,140","46,929","55,413","6,341","49,294","59,444","6,562","52,709","62,562","6,692","54,417","65,636","6,709","57,855","69,136","6,902","61,150","75,496",0.0,0.0,0.0,Wyndham,Melbourne - West,Williamstown (Western Metropolitan),0.0
Hobsons Bay,ALTONA NORTH,24.9,63.6,55.0,3025.0,VIC,144.839704,-37.835562,"5,902","27,860","30,784","5,685","42,346","49,145","5,712","43,381","51,182","5,841","44,875","53,948","6,140","46,929","55,413","6,341","49,294","59,444","6,562","52,709","62,562","6,692","54,417","65,636","6,709","57,855","69,136","6,902","61,150","75,496",1.0,1.0,1.0,Wyndham,Melbourne - West,Williamstown (Western Metropolitan),3.0
Wyndham,DERRIMUT,31.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyndham,LAVERTON NORTH,31.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyndham,LAVERTON RAAF,31.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyndham,WILLIAMS LANDING,31.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyndham,WILLIAMS RAAF,31.5,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyndham,ALTONA MEADOWS,31.5,70.3,56.0,3028.0,VIC,144.777165,-37.875066,"15,827","31,067","33,155","15,748","42,513","47,393","15,915","43,115","48,213","16,045","44,092","49,625","16,446","45,017","50,742","16,906","46,789","52,982","17,132","48,219","54,047","16,940","49,561","56,934","16,253","51,490","58,958","16,363","53,374","61,056",1.0,0.0,1.0,Wyndham,Melbourne - West,Williamstown (Western Metropolitan),2.0
Wyndham,LAVERTON,31.5,70.3,57.0,3028.0,VIC,144.777165,-37.875066,"15,827","31,067","33,155","15,748","42,513","47,393","15,915","43,115","48,213","16,045","44,092","49,625","16,446","45,017","50,742","16,906","46,789","52,982","17,132","48,219","54,047","16,940","49,561","56,934","16,253","51,490","58,958","16,363","53,374","61,056",0.0,1.0,0.0,Wyndham,Melbourne - West,Williamstown (Western Metropolitan),1.0
Wyndham,SEABROOK,31.5,70.3,58.0,3028.0,VIC,144.777165,-37.875066,"15,827","31,067","33,155","15,748","42,513","47,393","15,915","43,115","48,213","16,045","44,092","49,625","16,446","45,017","50,742","16,906","46,789","52,982","17,132","48,219","54,047","16,940","49,561","56,934","16,253","51,490","58,958","16,363","53,374","61,056",0.0,0.0,0.0,Wyndham,Melbourne - West,Williamstown (Western Metropolitan),0.0
