Name,Latitude,Longitude,Suburb
KFC Broadmeadows Food Court,-37.6803703,144.9200729,BROADMEADOWS
KFC Roxburgh Park,-37.6405163,144.9311437,ROXBURGH PARK
KFC Craigieburn,-37.5919854,144.9095307,CRAIGIEBURN
KFC Craigieburn East,-37.5866255,144.9419792,CRAIGIEBURN
KFC Epping (Drive Thru Only),-37.6350237,144.9984179,EPPING
KFC Thomastown,-37.6841827,145.0287648,THOMASTOWN
KFC Bundoora,-37.6940691,145.0604366,BUNDOORA
KFC Plenty Valley Food Court,-37.6519323,145.0720898,MILL PARK
KFC Mill Park,-37.6562744,145.0788432,MILL PARK
KFC Wollert,-37.6033284,144.9852924,WOLLERT
KFC,-37.6544104,145.0215286,EPPING
KFC Berwick North,-38.033325,145.3437633,BERWICK
KFC Bayswater,-37.82496039999999,145.2882158,BAYSWATER NORTH
KFC Cranbourne North,-38.083525,145.2826892,CRANBOURNE
KFC Highett,-37.9462866,145.0446679,HIGHETT
KFC Berwick South,-38.0566884,145.3382577,BERWICK
KFC Heidelberg,-37.7575638,145.0691846,HEIDELBERG
KFC Greensborough,-37.7046752,145.1008968,GREENSBOROUGH
KFC Dandenong,-37.9907107,145.198199,DANDENONG
KFC Mooroolbark,-37.7899128,145.3083944,CROYDON
KFC Sunbury,-37.5780123,144.730997,SUNBURY
KFC Doreen,-37.60682449999999,145.1372839,DOREEN
KFC Epping,-37.6534679,145.0201502,EPPING
KFC Sunbury South,-37.59577,144.7134551,SUNBURY
KFC Wallan,-37.4126312,144.9789794,WALLAN
KFC Wallan 1 (Southbound),-37.4037451,145.0170192,WALLAN
KFC Clayton South (Westall),-37.9479349,145.1393924,SPRINGVALE
KFC Fountain Gate Food Court,-38.0224664,145.3023835,NARRE WARREN
KFC Epping Plaza Food Court,-37.6551088,145.0171283,EPPING
KFC Eltham,-37.7174638,145.1386409,ELTHAM
KFC Officer Inbound,-38.0731413,145.3896505,OFFICER
KFC Officer Arena,-38.0653504,145.4364033,OFFICER
KFC Chirnside Park,-37.7621436,145.3103853,CHIRNSIDE PARK
KFC Lilydale,-37.7576079,145.3569797,LILYDALE
KFC Chirnside Park Food Court,-37.756274,145.3126261,CHIRNSIDE PARK
KFC Eastlands Food Court,-37.8125787,145.2289309,RINGWOOD
