Name,Latitude,Longitude,Suburb
Hungry Jack's Burgers Chirnside Park,-37.7607794,145.3119042,CHIRNSIDE PARK
Hungry Jack's Burgers Tarneit,-37.8474515,144.6877084,TARNEIT
Hungry Jack's Burgers Tarneit Park,-37.8347033,144.698371,TARNEIT
Hungry Jack's Burgers Melton West,-37.6847999,144.5675512,MELTON WEST
Hungry Jack's Burgers Werribee,-37.9041388,144.6558007,WERRIBEE
Hungry Jack's Burgers Bacchus Marsh,-37.6646394,144.4377757,BACCHUS MARSH
Hungry Jack's Burgers Little River Melbourne Bound,-38.00148770000001,144.4917238,
Hungry Jack's Burgers Little River Geelong Bound,-38.0027689,144.4920757,
Hungry Jack's Burgers Newcomb,-38.16923810000001,144.3876434,NEWCOMB
Hungry Jack's Burgers Geelong,-38.1005549,144.3544091,NORLANE
Hungry Jack's Burgers Frankston South,-38.1838505,145.1411237,FRANKSTON SOUTH
Hungry Jack's Burgers Cranbourne North,-38.0849446,145.2784338,CRANBOURNE
Hungry Jack's Burgers Bulla,-37.6371288,144.8056577,BULLA
Hungry Jack's Burgers Roxburgh Park,-37.641329,144.931748,COOLAROO
Hungry Jack's,-37.6689101,144.8500938,MELBOURNE AIRPORT
Hungry Jack's Burgers Craigieburn,-37.593051,144.907819,CRAIGIEBURN
Hungry Jack's Burgers Wollert,-37.6210749,145.0049236,EPPING
Hungry Jack's Burgers Fountain Gate Food Court,-38.0166809,145.3031604,NARRE WARREN
Hungry Jack's Burgers Kalkallo,-37.525254,144.9487922,KALKALLO
Hungry Jack's Burgers Mernda,-37.6026181,145.0944111,MERNDA
Hungry Jack's Burgers Kangaroo Flats,-36.80972390000001,144.2410373,KANGAROO FLAT
Hungry Jack's Burgers Pakenham,-38.07111190000001,145.4799947,PAKENHAM
Hungry Jack's Burgers Berwick,-38.0549474,145.3387584,BERWICK
Hungry Jack's Burgers Longwarry East,-38.0854247,145.7751845,
Hungry Jack's Burgers Longwarry West,-38.0882081,145.7794165,
Hungry Jack's Burgers Beaconsfield,-38.0550295,145.3849397,BEACONSFIELD
Hungry Jack's Burgers Mornington,-38.2285105,145.045439,MORNINGTON
Hungry Jack's Burgers Waurn Ponds,-38.1990414,144.3156207,GROVEDALE
Hungry Jack's Burgers Armstrong Creek,-38.2244907,144.3372739,ARMSTRONG CREEK
Hungry Jack's Burgers Ballarat,-37.5615842,143.8699078,BALLARAT EAST
Hungry Jack's Burgers Sunbury,-37.5810011,144.7243974,SUNBURY
Hungry Jack's Burgers Sebastopol,-37.5820944,143.8405257,REDAN
Hungry Jack's Burgers Wendouree,-37.5394378,143.8227678,WENDOUREE
Hungry Jack's Burgers Barnawartha,-36.073313,146.7266845,
Hungry Jack's Burgers Hamilton,-37.7359691,142.0139818,HAMILTON
Hungry Jack's Burgers Warrnambool,-38.3830649,142.5202173,WARRNAMBOOL
Hungry Jack's Burgers Stawell,-37.0726872,142.7726223,STAWELL
Hungry Jack's Burgers Sale,-38.1069805,147.0684535,SALE
Hungry Jack's Burgers Bairnsdale,-37.8289638,147.6156555,BAIRNSDALE
Hungry Jack's Burgers Horsham,-36.7102436,142.1950889,HORSHAM
Hungry Jack's Burgers Moe,-38.1745543,146.2617693,MOE
Hungry Jack's Burgers Bendigo,-36.7667014,144.2666142,BENDIGO
Hungry Jack's Burgers Traralgon,-38.191649,146.5530318,TRARALGON
Hungry Jack's Burgers Mildura,-34.2092062,142.1400117,MILDURA
Hungry Jack's Burgers Renmark,-34.1809565,140.7369101,RENMARK
Hungry Jack's Burgers Shepparton,-36.3858264,145.3987078,SHEPPARTON
Hungry Jack's Burgers Wangaratta,-36.35922040000001,146.3179167,WANGARATTA
Hungry Jack's Burgers Wodonga,-36.1390674,146.8910814,WHITE BOX RISE
Hungry Jack's Burgers Albury,-36.0843212,146.9120444,ALBURY
Hungry Jack's Lavington,-36.0477959,146.9389289,LAVINGTON
