Name,Latitude,Longitude
McDonald's,-37.6224451,145.0295452
McDonald's,-37.6401846,144.929556
McDonald's Caloocan 8 Th Street,14.649377,120.990437
McDonald's Northland Shopping Centre II,-37.7399516,145.0311429
McDonald's Fawkner,-37.6901471,144.9589208
McDonald's Fairy Meadow,-34.4029458,150.8918152
McDonald's,50.9710846,-114.0723769
McDonald's,50.9656781,-114.0696914
McDonald's Bambalapitiya,6.8845649,79.86044249999999
McDonald's Ringwood,-37.8167827,145.2200306
McDonald's Plenty Valley S/C,-37.651871,145.0717196
McDonald's Nunawading,-37.8179069,145.1766498
McDonald's Cheltenham,-37.9606727,145.0546556
McDonald's,-37.6031217,145.0942418
McDonald's Akoranga Drive,-36.7927822,174.7485912
McDonald's,34.984401,-118.9478132
McDonald's(Lyndhurst II-Cranbourne West),-38.0785353,145.2434081
McDonald's,-27.5892148,151.948136
McDonald's,33.4664947,-94.0683545
McDonald's,-37.677385,144.921808
McDonald's,-37.739021,144.9481755
McDonald's Melbourne Airport,-37.67036270000001,144.8538531
McDonald's Campbellfield,-37.6739401,144.9553434
McDonald's,-37.6703555,144.8483742
McDonald's Melbourne Airport T4,-37.6727751,144.8489247
McDonald's Craigieburn,-37.5962823,144.9214691
McDonald's,-37.6033401,144.984909
McDonald's,-37.573841,144.9200929
McDonald's,32.778673,-96.803027
McDonald's,32.744605,-96.81228279999999
McDonald's,32.815454,-96.79069299999999
McDonald's,32.8575566,-96.76816749999999
McDonald's,32.7920401,-96.7786825
McDonald's,32.7652009,-96.8969319
McDonald's,32.9879813,-96.8416473
McDonald's,32.9100607,-96.7349653
McDonald's,32.8727922,-96.7629723
McDonald's,32.864591,-96.700988
McDonald's,32.8185084,-96.8138561
McDonald's,32.7767097,-96.76516679999999
McDonald's,32.64612,-96.781165
McDonald's,32.7048533,-96.82810440000002
McDonald's,32.7949391,-96.7009819
McDonald's,32.9257344,-96.76857520000002
McDonald's,32.7919375,-96.7499419
McDonald's,32.810829,-96.771289
McDonald's,32.7204182,-96.8044568
McDonald's,32.9270651,-96.8117005
McDonald's Avondale Heights,-37.7666026,144.8634109
McDonald's,-37.5765624,144.7285481
McDonald's Calder Northbound,-37.6648186,144.747969
McDonald's,-37.66526169999999,144.753831
McDonald's Rosenthal,-37.5951921,144.7133346
McDonald's,-37.402586,145.014799
McDonald's,-37.41278399999999,144.9798996
McDonald's Delahey,-37.726856,144.7814638
McDonald's Sydenham,-37.6937716,144.7550943
McDonald's Gisborne,-37.48580889999999,144.5875966
McDonald's Wallan Sth,-37.4036429,145.0173282
McDonald's Caroline Springs,-37.7295755,144.7413378
McDonald's Western Fairway,-37.7067116,144.6292639
McDonald's Highpoint,-37.7758299,144.8883847
McDonald's St Albans,-37.746734,144.802321
McDonald's Western Ring Road East,-37.8054536,144.8092419
McDonald's,51.0373287,-113.3892302
McDonald's,8.487398599999999,76.92589799999999
McDonald's,41.8796446,-87.7779413
McDonald's,42.483168,-83.201539
McDonald's,41.8646641,-87.80325069999999
McDonald's,42.4474216,-83.19996739999999
McDonald's,41.8916647,-87.8055011
McDonald's,-37.6057833,145.1361463
McDonald's Chirnside Park,-37.7624388,145.3099509
McDonald's Croydon,-37.788661,145.268709
McDonald's,-37.7578418,145.3564223
McDonald's,30.3991574,-97.7468911
McDonald's,-37.9755049,145.2583637
McDonald's Whittlesea,-37.5164551,145.1146846
McDonald's,-38.0287942,145.1307855
McDonald's,-27.4835191,153.0361372
McDonald's Kangaroo Flat,-36.7977526,144.2434209
McDonald's,53.7278599,-0.3749578
McDonald's,55.9533,-3.1912798
McDonald's California Gully,-36.732471,144.2576175
McDonald's Pacific Plaza,-37.6551178,145.0172097
McDonald's Ashburton,-43.905237,171.744913
McDonald's,51.47322399999999,-0.09282499999999999
McDonald's Hurlstone Park,-33.90487299999999,151.128017
McDonald's,-37.906366,145.3433957
McDonald's,-38.0024358,145.2465083
McDonald's,-38.0221519,145.3019823
McDonald's,-37.987161,145.218552
McDonald's Basin Reserve,-41.3017249,174.7792456
McDonald's,-34.888883,138.5704721
McDonald's Croydon,-33.8742686,151.1268474
McDonald's Croydon Park,-33.8958458,151.1075811
McDonald's,51.3733401,-0.1035725
McDonald's,51.4268483,-0.1667173
McDonald's Rosebud,-38.357864,144.898506
McDonald's,-38.2051373,145.1368942
McDonald's,-38.230772,145.04447
McDonald's Peninsula Link Inbound,-38.2042428,145.1332667
McDonald's Somerville,-38.2232393,145.1697364
McDonald's Hampton Park,-38.0411745,145.2523006
McDonald's-Cranbourne,-38.0983059,145.2826654
McDonald's Frankston,-38.1124228,145.1589282
McDonald's Frankston 2,-38.14250850000001,145.1207697
McDonald's,-38.1515428,145.1513619
McDonald's,-38.1502069,145.1964033
McDonald's (Amstel),-38.1108986,145.2597039
McDonald's,-38.1016463,145.1861242
McDonald's Hastings,-38.30743289999999,145.1840268
McDonald's Skye,-38.108327,145.232293
McDonald's,-38.2469021,144.5382875
McDonald's Armstrong Creek,-38.2271248,144.3369497
McDonald's,-38.1865781,144.4551177
McDonald's Torquay,-38.3254094,144.3171486
McDonald's Warralily,-38.2320572,144.3732445
McDonald's,-38.1737238,144.4013489
McDonald's,30.1695839,-90.87754650000001
McDonald's,30.3208224,-87.42124679999999
McDonald's,40.753325,14.4713908
McDonald's,32.8928717,-117.2034024
McDonald's,40.7492849,14.4986135
McDonald's,-37.9516142,145.0779886
McDonald's,41.3479101,-73.7555598
McDonald's,39.3276541,-74.5982113
McDonald's Armadale,-32.1499477,116.0190719
McDonald's Windsor,-33.625173,150.837497
McDonald's Windsor West,-27.4390352,153.0305285
McDonald's Bligh Park,-33.6382664,150.7845544
McDonald's,51.4835545,-0.6086602000000001
McDonald's,-33.6999986,150.9279615
McDonald's Derrimut Village,-37.7831802,144.7723525
McDonald's Albion,-27.4324981,153.0433027
McDonald's Albion Park Rail,-34.567227,150.803021
McDonald's Tarneit,-37.8352451,144.6902905
McDonald's Watergardens,-37.6991072,144.7763088
McDonald's Kings Park,-33.7442661,150.9160853
McDonald's Holiday Inn (Remington),14.5189908,121.0197463
McDonald's,51.5960151,-2.9969993
McDonald's,51.588199,-2.9970987
McDonald's,51.574223,-2.9452309
McDonald's,39.0786041,-84.48058639999999
McDonald's,51.6027235,-2.9236789
McDonald's New Port,14.520653,121.0160195
McDonald's,52.76350040000001,-2.3605354
McDonald's,50.6987197,-1.295299
McDonald's Newport Mall,14.5185788,121.0200131
McDonald's,44.6468188,-124.0524848
McDonald's,51.5722264,-3.0091778
