council,suburb,Adults - Obesity Rate
Manningham,TEMPLESTOWE,19.1
Manningham,TEMPLESTOWE LOWER,19.1
Manningham,DONCASTER,19.1
Manningham,DONCASTER EAST,19.1
Manningham,DONCASTER HEIGHTS,19.1
Manningham,THE PINES,19.1
Manningham,TUNSTALL SQUARE PO,19.1
Manningham,DONVALE,19.1
Nillumbik,NORTH WARRANDYTE,22.8
Nillumbik,WARRANDYTE,22.8
Maroondah,PARK ORCHARDS,26.3
Maroondah,WONGA PARK,26.3
Yarra Ranges,CHIRNSIDE PARK,27.1
Yarra,BURNLEY,16.3
Yarra,BURNLEY NORTH,16.3
Yarra,CREMORNE,16.3
Yarra,RICHMOND,16.3
Yarra,RICHMOND EAST,16.3
Yarra,RICHMOND NORTH,16.3
Yarra,RICHMOND SOUTH,16.3
Yarra,VICTORIA GARDENS,16.3
Boroondara,AUBURN SOUTH,14.5
Boroondara,GLENFERRIE SOUTH,14.5
Boroondara,HAWTHORN,14.5
Boroondara,HAWTHORN NORTH,14.5
Boroondara,HAWTHORN WEST,14.5
Boroondara,AUBURN,14.5
Boroondara,HAWTHORN EAST,14.5
Boroondara,CAMBERWELL,14.5
Boroondara,CAMBERWELL NORTH,14.5
Boroondara,CAMBERWELL SOUTH,14.5
Boroondara,CAMBERWELL WEST,14.5
Boroondara,HARTWELL,14.5
Boroondara,MIDDLE CAMBERWELL,14.5
Monash,BENNETTSWOOD,19.7
Monash,BURWOOD,19.7
Monash,SURREY HILLS SOUTH,19.7
Boroondara,CAMBERWELL EAST,14.5
Boroondara,CANTERBURY,14.5
Boroondara,MONT ALBERT,14.5
Boroondara,SURREY HILLS,14.5
Boroondara,SURREY HILLS NORTH,14.5
Whitehorse,BOX HILL,19.5
Whitehorse,BOX HILL CENTRAL,19.5
Whitehorse,BOX HILL SOUTH,19.5
Whitehorse,HOUSTON,19.5
Whitehorse,WATTLE PARK,19.5
Whitehorse,BOX HILL NORTH,19.5
Whitehorse,KERRIMUIR,19.5
Whitehorse,MONT ALBERT NORTH,19.5
Whitehorse,BLACKBURN,19.5
Whitehorse,BLACKBURN NORTH,19.5
Whitehorse,BLACKBURN SOUTH,19.5
Whitehorse,LABURNUM,19.5
Manningham,BRENTFORD SQUARE,19.1
Manningham,FOREST HILL,19.1
Manningham,NUNAWADING,19.1
Whitehorse,MITCHAM,19.5
Whitehorse,MITCHAM NORTH,19.5
Whitehorse,RANGEVIEW,19.5
Maroondah,VERMONT,26.3
Maroondah,VERMONT SOUTH,26.3
Manningham,HEATHWOOD,19.1
Manningham,RINGWOOD,19.1
Manningham,RINGWOOD NORTH,19.1
Manningham,WARRANDYTE SOUTH,19.1
Manningham,WARRANWOOD,19.1
Maroondah,BEDFORD ROAD,26.3
Maroondah,HEATHMONT,26.3
Maroondah,RINGWOOD EAST,26.3
Maroondah,CROYDON,26.3
Maroondah,CROYDON HILLS,26.3
Maroondah,CROYDON NORTH,26.3
Maroondah,CROYDON SOUTH,26.3
Maroondah,KILSYTH,26.3
Maroondah,KILSYTH SOUTH,26.3
Yarra Ranges,MOOROOLBARK,27.1
Cardinia,BEENAK,32.4
Cardinia,DON VALLEY,32.4
Cardinia,HODDLES CREEK,32.4
Cardinia,LAUNCHING PLACE,32.4
Cardinia,SEVILLE,32.4
Cardinia,SEVILLE EAST,32.4
Cardinia,WANDIN EAST,32.4
Cardinia,WANDIN NORTH,32.4
Cardinia,WOORI YALLOCK,32.4
