council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Whitehorse,LABURNUM,19.5,57.3
Manningham,BRENTFORD SQUARE,19.1,57.4
Manningham,FOREST HILL,19.1,57.4
Manningham,NUNAWADING,19.1,57.4
Whitehorse,MITCHAM,19.5,57.3
Whitehorse,MITCHAM NORTH,19.5,57.3
Whitehorse,RANGEVIEW,19.5,57.3
Maroondah,VERMONT,26.3,64.6
Maroondah,VERMONT SOUTH,26.3,64.6
Manningham,HEATHWOOD,19.1,57.4
Manningham,RINGWOOD,19.1,57.4
Manningham,RINGWOOD NORTH,19.1,57.4
Manningham,WARRANDYTE SOUTH,19.1,57.4
Manningham,WARRANWOOD,19.1,57.4
Maroondah,BEDFORD ROAD,26.3,64.6
Maroondah,HEATHMONT,26.3,64.6
Maroondah,RINGWOOD EAST,26.3,64.6
Maroondah,CROYDON,26.3,64.6
Maroondah,CROYDON HILLS,26.3,64.6
Maroondah,CROYDON NORTH,26.3,64.6
Maroondah,CROYDON SOUTH,26.3,64.6
Maroondah,KILSYTH,26.3,64.6
Maroondah,KILSYTH SOUTH,26.3,64.6
Yarra Ranges,MOOROOLBARK,27.1,65.6
Cardinia,BEENAK,32.4,71.2
Cardinia,DON VALLEY,32.4,71.2
Cardinia,HODDLES CREEK,32.4,71.2
Cardinia,LAUNCHING PLACE,32.4,71.2
Cardinia,SEVILLE,32.4,71.2
Cardinia,SEVILLE EAST,32.4,71.2
Cardinia,WANDIN EAST,32.4,71.2
Cardinia,WANDIN NORTH,32.4,71.2
Cardinia,WOORI YALLOCK,32.4,71.2
Cardinia,YELLINGBO,32.4,71.2
Yarra Ranges,LILYDALE,27.1,65.6
Melbourne,CHAPEL STREET NORTH,15.3,48.8
Melbourne,DOMAIN ROAD PO,15.3,48.8
Melbourne,SOUTH YARRA,15.3,48.8
Stonnington,HAWKSBURN,15.5,53.3
Stonnington,TOORAK,15.5,53.3
Stonnington,ARMADALE,15.5,53.3
Stonnington,ARMADALE NORTH,15.5,53.3
Stonnington,KOOYONG,15.5,53.3
Stonnington,MALVERN,15.5,53.3
Stonnington,MALVERN NORTH,15.5,53.3
Glen Eira,CAULFIELD EAST,18.6,56.9
